Min Data,Smoothing,P-Value Act,R-Squared Act,Radj-Squared Act,P-Value Val,R-Squared Val,Radj-Squared Val,Size
5,1,0.14836849800622115,0.13812596934047272,0.04159607790660558,0.15766211747557635,0.13642179478299854,0.03970103579869433,140
5,2,0.7831589023459089,0.07148380519404263,-0.03251000862422471,0.3603599223138534,0.11008042610817759,0.010409433832293424,140
5,3,0.8038611708623219,0.06936890979308097,-0.03486177231009413,0.4942418385765196,0.0974057613310697,-0.0036847933998505056,140
5,4,0.46554994943702754,0.0999911366570293,-0.0008098560373834829,0.5020405025510328,0.09671102529395892,-0.004457339873117805,140
5,5,0.2688455662408832,0.12024291341619175,0.0217101197188051,0.22981242872992344,0.12525820751109218,0.027287126752334467,140
5,6,0.18232433890827185,0.13224506959486115,0.035056517389485564,0.25800065838772235,0.1215841255105724,0.023201547567756386,140
5,7,0.5117662737630537,0.09584865510901297,-0.005416295518777758,0.2397391559732063,0.12393080141511459,0.02581105117360738,140
5,8,0.5574953095029664,0.09183954801063376,-0.009874422612175415,0.18971712878829824,0.1310763072186374,0.03375685362712466,140
5,9,0.8052587830666801,0.06922293149619285,-0.0350241001762337,0.13817376664976683,0.1400937459870244,0.0437842455375711,140
5,10,0.44547976033331704,0.1018325712696121,0.0012378192518085473,0.17525855281369782,0.13339565966563904,0.036335973548190514,140
5,11,0.17477272991056247,0.13347604195778762,0.03642535865705976,0.2788994540343988,0.11903090598511057,0.020362367455442842,140
5,12,0.18753769057576603,0.1314172990076916,0.034136036496552946,0.20322712266663914,0.12902445020366926,0.03147518862648013,140
5,13,0.40588058950582345,0.10556785347949349,0.005391453069196639,0.18154200037084436,0.13237080427794667,0.035196334357076586,140
5,14,0.23954446494986265,0.12395646641454705,0.025839590652976252,0.04656918578741933,0.16721097492860348,0.07393860412060704,140
5,15,0.3331675008894597,0.11292149649196159,0.01356870409906119,0.208544646387928,0.12824408059046066,0.030607417616592136,140
10,1,0.8702486927444006,0.08426148803085864,-0.05978726666091627,0.8679376209446689,0.08465426162297063,-0.059332708458809114,104
10,2,0.6922025124334674,0.10875294581355122,-0.031443220013530615,0.6224164458569978,0.11696904495755811,-0.021934700779455252,104
10,3,0.34885035670315906,0.150234284545938,0.016563273126197986,0.7866023649752836,0.09681515863920476,-0.04525886135013368,104
10,4,0.5562543306171466,0.12462617377132179,-0.013073079792739861,0.9053644833133369,0.0777501760599475,-0.06732282995309435,104
10,5,0.6587741994994045,0.11272361664826458,-0.026847949272233107,0.7892458191192983,0.09645666197175351,-0.04567375075179081,104
