value,datetime
89.0,2022-04-22 16:41:28
90.0,2022-04-22 16:41:43
92.0,2022-04-22 16:41:48
91.0,2022-04-22 16:41:58
92.0,2022-04-22 16:42:03
91.0,2022-04-22 16:42:08
90.0,2022-04-22 16:42:13
89.0,2022-04-22 16:42:18
91.0,2022-04-22 16:42:28
92.0,2022-04-22 16:42:33
93.0,2022-04-22 16:42:48
94.0,2022-04-22 16:42:58
91.0,2022-04-22 16:43:03
90.0,2022-04-22 16:43:13
90.0,2022-04-22 16:43:18
90.0,2022-04-22 16:43:23
90.0,2022-04-22 16:43:38
91.0,2022-04-22 16:43:43
91.0,2022-04-22 16:43:58
90.0,2022-04-22 16:44:03
91.0,2022-04-22 16:44:13
91.0,2022-04-22 16:44:28
90.0,2022-04-22 16:44:33
91.0,2022-04-22 16:44:48
92.0,2022-04-22 16:44:53
92.0,2022-04-22 16:45:03
92.0,2022-04-22 16:45:18
91.0,2022-04-22 16:45:23
93.0,2022-04-22 16:45:33
94.0,2022-04-22 16:45:48
94.0,2022-04-22 16:45:53
93.0,2022-04-22 16:46:03
90.0,2022-04-22 16:46:08
89.0,2022-04-22 16:46:13
89.0,2022-04-22 16:46:23
88.0,2022-04-22 16:46:33
87.0,2022-04-22 16:46:38
88.0,2022-04-22 16:46:53
88.0,2022-04-22 16:46:58
88.0,2022-04-22 16:47:13
88.0,2022-04-22 16:47:28
90.0,2022-04-22 16:47:33
92.0,2022-04-22 16:47:38
93.0,2022-04-22 16:47:43
92.0,2022-04-22 16:47:58
91.0,2022-04-22 16:48:03
92.0,2022-04-22 16:48:18
89.0,2022-04-22 16:48:23
86.0,2022-04-22 16:48:28
83.0,2022-04-22 16:48:33
84.0,2022-04-22 16:48:38
88.0,2022-04-22 16:48:43
89.0,2022-04-22 16:48:48
90.0,2022-04-22 16:48:53
89.0,2022-04-22 16:48:58
88.0,2022-04-22 16:49:04
87.0,2022-04-22 16:49:14
88.0,2022-04-22 16:49:19
87.0,2022-04-22 16:49:34
88.0,2022-04-22 16:49:39
90.0,2022-04-22 16:49:44
89.0,2022-04-22 16:49:54
89.0,2022-04-22 16:49:59
89.0,2022-04-22 16:50:14
89.0,2022-04-22 16:50:19
90.0,2022-04-22 16:50:29
89.0,2022-04-22 16:50:34
90.0,2022-04-22 16:50:39
91.0,2022-04-22 16:50:44
90.0,2022-04-22 16:50:49
90.0,2022-04-22 16:50:54
92.0,2022-04-22 16:51:09
95.0,2022-04-22 16:51:14
95.0,2022-04-22 16:51:19
95.0,2022-04-22 16:51:24
91.0,2022-04-22 16:51:34
89.0,2022-04-22 16:51:39
89.0,2022-04-22 16:51:54
88.0,2022-04-22 16:51:59
89.0,2022-04-22 16:52:04
